epoch,time_of_day,class_name,precision,recall,f1,ap50,ap50_95
8,day,rider,0.696,0.261,0.3797,0.3313,0.1916
8,day,traffic light,0.7129,0.4938,0.5834,0.5509,0.2314
8,day,traffic sign,0.6799,0.519,0.5887,0.5614,0.2999
8,day,truck,0.5417,0.4757,0.5066,0.4657,0.333
8,night,bike,0.5959,0.2381,0.3402,0.3107,0.185
8,night,bus,0.371,0.4938,0.4237,0.3709,0.2693
8,night,car,0.7795,0.6357,0.7003,0.7154,0.4052
8,night,motor,0.502,0.2885,0.3664,0.2791,0.1458
8,night,person,0.6866,0.4417,0.5376,0.5266,0.2467
8,night,rider,0.7484,0.2096,0.3274,0.2673,0.1232
8,night,traffic light,0.6611,0.4933,0.565,0.5144,0.1665
8,night,traffic sign,0.7334,0.5425,0.6237,0.6203,0.3275
8,night,truck,0.5085,0.4899,0.499,0.4563,0.3251
9,day,bike,0.6059,0.3283,0.4259,0.3922,0.2089
9,day,bus,0.7754,0.3975,0.5256,0.459,0.3576
9,day,car,0.7862,0.7011,0.7412,0.7589,0.4896
9,day,motor,0.7286,0.2459,0.3677,0.2977,0.1515
9,day,person,0.5852,0.5902,0.5877,0.5923,0.2909
9,day,rider,0.7072,0.3254,0.4457,0.3736,0.2077
9,day,traffic light,0.6972,0.4901,0.5756,0.5575,0.2309
9,day,traffic sign,0.7279,0.4994,0.5924,0.5711,0.3062
9,day,truck,0.6446,0.4994,0.5628,0.5203,0.3702
9,night,bike,0.509,0.381,0.4358,0.4116,0.2298
9,night,bus,0.6247,0.3596,0.4564,0.3946,0.3043
9,night,car,0.6812,0.6892,0.6851,0.7255,0.4134
9,night,motor,0.576,0.1923,0.2883,0.2554,0.0998
9,night,person,0.4882,0.5717,0.5267,0.541,0.2512
9,night,rider,0.6307,0.3662,0.4634,0.3809,0.1894
9,night,traffic light,0.6128,0.5129,0.5584,0.5072,0.1672
9,night,traffic sign,0.6948,0.5767,0.6303,0.6285,0.3325
9,night,truck,0.5931,0.4848,0.5335,0.4934,0.3448
10,day,bike,0.6901,0.3452,0.4602,0.4066,0.2092
10,day,bus,0.6643,0.4219,0.5161,0.4521,0.3543
10,day,car,0.7397,0.727,0.7333,0.7636,0.4921
10,day,motor,0.348,0.3511,0.3496,0.2487,0.1177
10,day,person,0.706,0.5272,0.6036,0.5869,0.2974
10,day,rider,0.7065,0.3005,0.4217,0.3496,0.1889
10,day,traffic light,0.7138,0.5062,0.5923,0.5739,0.2378
10,day,traffic sign,0.7358,0.4914,0.5893,0.5755,0.3055
10,day,truck,0.624,0.4782,0.5414,0.4991,0.3568
10,night,bike,0.521,0.3571,0.4238,0.3499,0.1842
10,night,bus,0.6243,0.4383,0.515,0.4371,0.3251
10,night,car,0.639,0.718,0.6762,0.7301,0.4145
10,night,motor,0.2477,0.25,0.2489,0.1981,0.1033
10,night,person,0.6724,0.483,0.5622,0.5383,0.2564
10,night,rider,0.6586,0.3521,0.4589,0.3792,0.175
10,night,traffic light,0.6184,0.5386,0.5757,0.5276,0.174
10,night,traffic sign,0.7404,0.5637,0.6401,0.6474,0.3367
10,night,truck,0.6526,0.4848,0.5563,0.4942,0.3592
11,day,bike,0.722,0.3452,0.4671,0.4352,0.2175
11,day,bus,0.6841,0.3975,0.5029,0.4594,0.3586
11,day,car,0.7922,0.7003,0.7434,0.764,0.4918
11,day,motor,0.5617,0.4011,0.468,0.3536,0.1819
11,day,person,0.7425,0.49,0.5904,0.5809,0.2941
11,day,rider,0.5749,0.3713,0.4512,0.3879,0.2083
11,day,traffic light,0.7124,0.4988,0.5868,0.559,0.2315
11,day,traffic sign,0.6863,0.5335,0.6003,0.5784,0.3042
11,day,truck,0.5882,0.5135,0.5483,0.5103,0.3667
11,night,bike,0.5397,0.3452,0.4211,0.3708,0.2107
11,night,bus,0.5691,0.4815,0.5216,0.4688,0.3615
11,night,car,0.702,0.6841,0.6929,0.7309,0.4144
11,night,motor,0.4365,0.3269,0.3739,0.2804,0.1164
11,night,person,0.6934,0.4517,0.5471,0.538,0.2528
11,night,rider,0.4497,0.4225,0.4357,0.3315,0.1453
11,night,traffic light,0.6494,0.5106,0.5717,0.5144,0.1663
11,night,traffic sign,0.6469,0.6257,0.6362,0.642,0.3344
11,night,truck,0.585,0.4874,0.5317,0.4974,0.3494
12,day,bike,0.6967,0.363,0.4773,0.4363,0.2143
12,day,bus,0.6399,0.4451,0.525,0.487,0.3856
12,day,car,0.7756,0.7083,0.7404,0.7571,0.4902
12,day,motor,0.6095,0.3282,0.4267,0.346,0.1633
12,day,person,0.7147,0.523,0.604,0.5814,0.2937
12,day,rider,0.5728,0.3679,0.448,0.3889,0.2116
12,day,traffic light,0.6983,0.5352,0.606,0.5876,0.2436
12,day,traffic sign,0.6964,0.5341,0.6045,0.5866,0.3117
12,day,truck,0.6727,0.4828,0.5622,0.518,0.3752
12,night,bike,0.5596,0.4048,0.4697,0.4025,0.2247
12,night,bus,0.5278,0.4877,0.5069,0.4753,0.3613
12,night,car,0.7034,0.6922,0.6978,0.729,0.4167
12,night,motor,0.5444,0.2308,0.3241,0.2674,0.1178
12,night,person,0.7058,0.455,0.5533,0.529,0.2514
12,night,rider,0.5139,0.3723,0.4318,0.3474,0.1531
12,night,traffic light,0.6313,0.5472,0.5863,0.5399,0.1772
12,night,traffic sign,0.6899,0.6024,0.6432,0.6524,0.3435
12,night,truck,0.655,0.4495,0.5331,0.4973,0.3507
13,day,bike,0.768,0.3181,0.4499,0.4372,0.2279
13,day,bus,0.7524,0.434,0.5505,0.4833,0.3791
13,day,car,0.7887,0.7055,0.7448,0.7644,0.4924
13,day,motor,0.6278,0.2977,0.4039,0.3284,0.1553
13,day,person,0.6231,0.5733,0.5972,0.5913,0.2919
13,day,rider,0.7415,0.3316,0.4583,0.3699,0.2165
13,day,traffic light,0.684,0.5318,0.5983,0.574,0.2349
13,day,traffic sign,0.6965,0.5352,0.6053,0.5874,0.3132
13,day,truck,0.5934,0.5293,0.5595,0.5247,0.3752
13,night,bike,0.6428,0.3642,0.465,0.4384,0.2341
13,night,bus,0.6579,0.4444,0.5305,0.4586,0.3425
13,night,car,0.6939,0.691,0.6924,0.7291,0.4132
13,night,motor,0.6766,0.3077,0.423,0.3256,0.1322
13,night,person,0.6377,0.4979,0.5592,0.5437,0.2569
13,night,rider,0.6237,0.3736,0.4673,0.3507,0.1567
13,night,traffic light,0.6319,0.5298,0.5764,0.5237,0.1739
13,night,traffic sign,0.7127,0.5978,0.6502,0.6603,0.3474
13,night,truck,0.6171,0.468,0.5323,0.483,0.3409
14,day,bike,0.555,0.4021,0.4664,0.4311,0.2299
14,day,bus,0.6098,0.4845,0.5399,0.4945,0.3919
14,day,car,0.7557,0.7248,0.7399,0.7681,0.4955
14,day,motor,0.5682,0.211,0.3077,0.2592,0.1415
14,day,person,0.6894,0.5275,0.5977,0.5862,0.2988
14,day,rider,0.7186,0.3057,0.4289,0.3795,0.2126
14,day,traffic light,0.7049,0.5325,0.6067,0.5789,0.238
14,day,traffic sign,0.6654,0.5575,0.6067,0.5875,0.3136
14,day,truck,0.5919,0.5169,0.5519,0.5262,0.3783
14,night,bike,0.5012,0.5,0.5006,0.4538,0.2505
14,night,bus,0.5756,0.5608,0.5681,0.5045,0.3788
14,night,car,0.6816,0.7011,0.6912,0.7334,0.4183
14,night,motor,0.7659,0.189,0.3032,0.2505,0.1214
14,night,person,0.6517,0.502,0.5671,0.5487,0.2625
14,night,rider,0.6459,0.3803,0.4787,0.38,0.194
14,night,traffic light,0.6687,0.4908,0.5661,0.5283,0.1731
14,night,traffic sign,0.7187,0.5974,0.6525,0.6604,0.348
14,night,truck,0.6276,0.4894,0.55,0.4913,0.3491
15,day,bike,0.519,0.4164,0.4621,0.4243,0.2224
15,day,bus,0.6608,0.488,0.5614,0.513,0.4065
15,day,car,0.7767,0.7186,0.7465,0.7654,0.4964
15,day,motor,0.604,0.313,0.4123,0.3489,0.1788
15,day,person,0.6993,0.5336,0.6053,0.5957,0.3093
15,day,rider,0.6567,0.3627,0.4673,0.418,0.2269
15,day,traffic light,0.7247,0.5184,0.6045,0.5829,0.2444
15,day,traffic sign,0.7023,0.5342,0.6068,0.5945,0.3175
15,day,truck,0.643,0.5359,0.5846,0.5409,0.3819
15,night,bike,0.4885,0.5238,0.5055,0.4653,0.2611
15,night,bus,0.7202,0.4568,0.559,0.4908,0.3751
15,night,car,0.71,0.692,0.7009,0.7303,0.4164
15,night,motor,0.5997,0.25,0.3529,0.298,0.13
15,night,person,0.7092,0.4739,0.5681,0.5603,0.27
15,night,rider,0.4942,0.3854,0.4331,0.3938,0.1889
15,night,traffic light,0.6668,0.5167,0.5822,0.5345,0.1797
15,night,traffic sign,0.7062,0.6044,0.6514,0.6589,0.3493
15,night,truck,0.6445,0.4343,0.519,0.4751,0.3392
16,day,bike,0.7229,0.3529,0.4743,0.4557,0.2355
16,day,bus,0.6222,0.4808,0.5424,0.4999,0.3977
16,day,car,0.8033,0.7079,0.7526,0.771,0.5005
16,day,motor,0.5695,0.4122,0.4783,0.3786,0.181
16,day,person,0.7532,0.5172,0.6133,0.5927,0.3022
16,day,rider,0.6733,0.3523,0.4626,0.4061,0.2092
16,day,traffic light,0.7701,0.5015,0.6075,0.603,0.2538
16,day,traffic sign,0.6942,0.5407,0.6079,0.5942,0.3162
16,day,truck,0.6325,0.5227,0.5724,0.5368,0.382
16,night,bike,0.6067,0.4048,0.4856,0.4129,0.2418
16,night,bus,0.621,0.4568,0.5264,0.4914,0.3821
16,night,car,0.7651,0.6687,0.7136,0.7382,0.4234
16,night,motor,0.625,0.3527,0.4509,0.3484,0.1709
16,night,person,0.739,0.4651,0.5709,0.5539,0.2641
16,night,rider,0.5607,0.3521,0.4326,0.3939,0.1939
16,night,traffic light,0.6993,0.4783,0.5681,0.544,0.1824
16,night,traffic sign,0.7318,0.5836,0.6493,0.6624,0.3488
16,night,truck,0.5931,0.4672,0.5227,0.4918,0.3559
17,day,bike,0.7,0.3405,0.4581,0.4133,0.2192
17,day,bus,0.7089,0.4493,0.55,0.496,0.3935
17,day,car,0.7477,0.7358,0.7417,0.7742,0.5014
17,day,motor,0.4929,0.3282,0.3941,0.2921,0.1497
17,day,person,0.6882,0.5461,0.609,0.5948,0.3059
17,day,rider,0.8386,0.2693,0.4077,0.3588,0.2006
17,day,traffic light,0.7179,0.5267,0.6076,0.5933,0.2491
17,day,traffic sign,0.7158,0.5359,0.613,0.6014,0.3244
17,day,truck,0.6543,0.5087,0.5724,0.5364,0.3823
17,night,bike,0.5912,0.4048,0.4805,0.413,0.2186
17,night,bus,0.6304,0.4259,0.5084,0.4498,0.3392
17,night,car,0.6965,0.7052,0.7008,0.7405,0.4227
17,night,motor,0.5618,0.2885,0.3812,0.2958,0.1229
17,night,person,0.6728,0.4779,0.5588,0.5415,0.2573
17,night,rider,0.7259,0.3521,0.4742,0.4169,0.1875
17,night,traffic light,0.6627,0.5001,0.57,0.5398,0.1837
17,night,traffic sign,0.7432,0.5868,0.6558,0.6679,0.3524
17,night,truck,0.6289,0.4835,0.5467,0.4927,0.3541
18,day,bike,0.639,0.3915,0.4855,0.4447,0.232
18,day,bus,0.7397,0.4348,0.5477,0.4742,0.3793
18,day,car,0.8025,0.7146,0.756,0.7735,0.5039
18,day,motor,0.5746,0.3206,0.4116,0.3551,0.1775
18,day,person,0.712,0.5269,0.6056,0.5961,0.304
18,day,rider,0.7157,0.3834,0.4993,0.4148,0.2319
18,day,traffic light,0.7528,0.5229,0.6171,0.5989,0.2519
18,day,traffic sign,0.7124,0.5296,0.6076,0.5921,0.321
18,day,truck,0.6006,0.5548,0.5768,0.536,0.3883
18,night,bike,0.5138,0.4643,0.4878,0.4377,0.2431
18,night,bus,0.6362,0.3951,0.4874,0.4291,0.3401
18,night,car,0.7322,0.6853,0.7079,0.737,0.4239
18,night,motor,0.6173,0.3077,0.4107,0.3704,0.1719
18,night,person,0.6551,0.4879,0.5593,0.5425,0.2559
18,night,rider,0.6572,0.3511,0.4577,0.3548,0.1691
18,night,traffic light,0.6704,0.5157,0.583,0.5513,0.1869
18,night,traffic sign,0.7199,0.5933,0.6505,0.6597,0.3498
18,night,truck,0.5577,0.5152,0.5356,0.4915,0.3463
19,day,bike,0.6707,0.3696,0.4766,0.4386,0.2374
19,day,bus,0.6724,0.4803,0.5604,0.5125,0.3989
19,day,car,0.8177,0.6985,0.7534,0.7748,0.5036
19,day,motor,0.5829,0.3307,0.422,0.3718,0.2083
19,day,person,0.6588,0.5491,0.599,0.5876,0.3014
19,day,rider,0.7407,0.3627,0.4869,0.4307,0.2344
19,day,traffic light,0.7286,0.5251,0.6103,0.5976,0.2504
19,day,traffic sign,0.6981,0.5436,0.6112,0.5983,0.3234
19,day,truck,0.6079,0.535,0.5691,0.5441,0.3934
