epoch,learning_rate,train_loss,val_day_loss,val_night_loss,avg_val_loss,precision_day,precision_night,recall_day,recall_night,f1_day,f1_night,avg_f1,map50_day,map50_night,map5095_day,map5095_night,avg_map50,avg_map5095
15,8.70826052823979e-05,2.874715809440613,2.795523410797119,3.247025165557861,3.0212742881774903,0.6652,0.6377,0.4912,0.4819,0.5612,0.5413,0.55125,0.5315,0.5119,0.3093,0.2789,0.5217,0.2941
16,8.475962138373213e-05,2.8565258010864256,2.783853456497192,3.223197956085205,3.003525706291198,0.6935,0.6602,0.4876,0.4699,0.5679,0.5467,0.5572999999999999,0.5376,0.5152,0.3087,0.2848,0.5264,0.2967499999999999
17,8.228139257794012e-05,2.8302141330718995,2.782616760253906,3.2255901699066163,3.004103465080261,0.696,0.657,0.4712,0.4694,0.5504,0.5418,0.5461,0.5178,0.5064,0.3029,0.2709,0.5121,0.2869
18,7.965898723646776e-05,2.80720794506073,2.7718837623596198,3.224865436553955,2.9983745994567874,0.6944,0.64,0.4866,0.4795,0.5675,0.5422,0.5548500000000001,0.5317,0.5082,0.31,0.2763,0.5199499999999999,0.29315
19,7.690411765816864e-05,2.794489853477478,2.776132020950317,3.2269538440704344,3.001542932510376,0.6864,0.6553,0.4883,0.4757,0.5654,0.5479,0.5566500000000001,0.5395,0.5232,0.3168,0.2864,0.53135,0.3016
20,7.40290877593342e-05,2.768800092506409,2.777026256561279,3.233895280838013,3.005460768699646,0.6882,0.6529,0.4821,0.4755,0.5614,0.5453,0.55335,0.5314,0.5104,0.311,0.2765,0.5208999999999999,0.29375
21,7.104673812141677e-05,2.7514562898635866,2.770896282196045,3.2215968856811523,2.9962465839385986,0.6661,0.6678,0.4955,0.4749,0.5659,0.5494,0.55765,0.5361,0.5207,0.3106,0.2845,0.5284,0.29755
22,6.797038864187564e-05,2.7290419382095337,2.7694955081939696,3.223992197036744,2.9967438526153565,0.6948,0.5981,0.4928,0.5097,0.5728,0.5482,0.5605,0.5402,0.5193,0.3101,0.2805,0.5297499999999999,0.2953
23,9.535590473930411e-06,2.6364381587982177,2.7230934352874754,3.1840873050689695,2.9535903701782225,0.6822,0.6159,0.5134,0.5182,0.5819,0.5594,0.57065,0.5623,0.5339,0.3255,0.2934,0.5481,0.30945
24,9.06144701303518e-06,2.598954377937317,2.724312683105469,3.18758948135376,2.9559510822296144,0.6763,0.6759,0.5207,0.4993,0.5847,0.5716,0.5781499999999999,0.5617,0.5363,0.3247,0.2954,0.5489999999999999,0.31005
25,8.57968725711074e-06,2.58472326335907,2.7245128364562987,3.190072938919067,2.957292887687683,0.6892,0.6635,0.5185,0.4993,0.5871,0.5669,0.577,0.5627,0.5391,0.3268,0.2983,0.5509,0.31255
26,8.09246286217602e-06,2.5697328424453736,2.724181999206543,3.1912708415985107,2.957726420402527,0.7126,0.6604,0.5011,0.4955,0.5835,0.5632,0.57335,0.5598,0.5304,0.3255,0.2931,0.5450999999999999,0.3093
27,7.601949890654309e-06,2.559673087310791,2.7263690166473387,3.196245485305786,2.9613072509765623,0.6915,0.6481,0.5151,0.5125,0.5869,0.5702,0.57855,0.5595,0.5348,0.3247,0.2948,0.54715,0.30974999999999997
