epoch,time_of_day,class_name,precision,recall,f1,ap50,ap50_95
12,night,motor,0.4878,0.2308,0.3133,0.3243,0.1211
12,night,person,0.5872,0.4442,0.5058,0.481,0.2224
12,night,rider,0.4568,0.2676,0.3375,0.2837,0.1541
12,night,traffic light,0.6083,0.4802,0.5367,0.481,0.1527
12,night,traffic sign,0.6648,0.557,0.6062,0.6029,0.3062
12,night,truck,0.6174,0.4319,0.5083,0.4388,0.3055
13,day,bike,0.6509,0.2847,0.3961,0.3688,0.1728
13,day,bus,0.6273,0.4141,0.4988,0.4501,0.3564
13,day,car,0.6995,0.6928,0.6961,0.7281,0.4634
13,day,motor,0.595,0.2443,0.3464,0.2971,0.1404
13,day,person,0.6095,0.5083,0.5543,0.5297,0.2557
13,day,rider,0.5516,0.2435,0.3379,0.2907,0.1442
13,day,traffic light,0.6454,0.4605,0.5375,0.493,0.1954
13,day,traffic sign,0.6409,0.4663,0.5399,0.506,0.26
13,day,truck,0.5849,0.4727,0.5229,0.4738,0.3365
13,night,bike,0.6356,0.2976,0.4054,0.3905,0.216
13,night,bus,0.5729,0.4198,0.4845,0.447,0.3364
13,night,car,0.6019,0.6935,0.6444,0.6987,0.3965
13,night,motor,0.4279,0.3077,0.358,0.2531,0.1037
13,night,person,0.5287,0.4933,0.5104,0.4832,0.2274
13,night,rider,0.4919,0.2728,0.3509,0.2796,0.1401
13,night,traffic light,0.5489,0.5244,0.5364,0.4816,0.1519
13,night,traffic sign,0.6305,0.5787,0.6035,0.598,0.3062
13,night,truck,0.6256,0.4369,0.5145,0.4554,0.3215
14,day,bike,0.5787,0.3559,0.4407,0.4045,0.1993
14,day,bus,0.687,0.4161,0.5183,0.4567,0.3613
14,day,car,0.7434,0.6755,0.7079,0.7293,0.4656
14,day,motor,0.5302,0.2519,0.3415,0.2648,0.1379
14,day,person,0.6036,0.5008,0.5474,0.5263,0.2548
14,day,rider,0.6356,0.3212,0.4268,0.3453,0.1653
14,day,traffic light,0.6691,0.4441,0.5338,0.4985,0.1976
14,day,traffic sign,0.6956,0.4478,0.5448,0.5103,0.2633
14,day,truck,0.5825,0.4842,0.5288,0.4852,0.3354
14,night,bike,0.4748,0.4286,0.4505,0.3687,0.2016
14,night,bus,0.5818,0.4506,0.5079,0.437,0.3341
14,night,car,0.6904,0.6583,0.674,0.7045,0.3987
14,night,motor,0.5207,0.25,0.3378,0.282,0.1168
14,night,person,0.6308,0.443,0.5205,0.4953,0.2279
14,night,rider,0.5718,0.3099,0.4019,0.3265,0.1496
14,night,traffic light,0.6361,0.4481,0.5258,0.4753,0.1515
14,night,traffic sign,0.7051,0.537,0.6097,0.5956,0.3042
14,night,truck,0.6044,0.4293,0.502,0.4623,0.3271
15,day,bike,0.5981,0.3496,0.4413,0.408,0.1948
15,day,bus,0.7049,0.366,0.4819,0.4441,0.3534
15,day,car,0.7446,0.6732,0.7071,0.7221,0.4615
15,day,motor,0.669,0.2366,0.3496,0.2815,0.1411
15,day,person,0.7006,0.4495,0.5476,0.5236,0.2509
15,day,rider,0.6622,0.2902,0.4035,0.3419,0.1782
15,day,traffic light,0.6817,0.4433,0.5372,0.4994,0.2015
15,day,traffic sign,0.6526,0.4782,0.5519,0.5161,0.2658
15,day,truck,0.6351,0.46,0.5336,0.4843,0.3354
15,night,bike,0.5555,0.4167,0.4762,0.434,0.2364
15,night,bus,0.6533,0.4198,0.5111,0.427,0.3218
15,night,car,0.6613,0.6654,0.6633,0.6979,0.3951
15,night,motor,0.5355,0.1346,0.2151,0.212,0.0899
15,night,person,0.6587,0.3934,0.4926,0.4806,0.2228
15,night,rider,0.8247,0.2676,0.4041,0.3416,0.1632
15,night,traffic light,0.6053,0.4903,0.5418,0.4768,0.1531
15,night,traffic sign,0.6688,0.5635,0.6116,0.6047,0.3112
15,night,truck,0.6462,0.4066,0.4991,0.4582,0.3155
16,day,bike,0.522,0.3692,0.4325,0.3819,0.191
16,day,bus,0.5982,0.4439,0.5096,0.4518,0.3495
16,day,car,0.7636,0.6692,0.7133,0.7261,0.4668
16,day,motor,0.5357,0.2901,0.3764,0.324,0.1602
16,day,person,0.692,0.4634,0.555,0.5199,0.2517
16,day,rider,0.6977,0.311,0.4302,0.3594,0.1968
16,day,traffic light,0.6428,0.4679,0.5416,0.5054,0.2052
16,day,traffic sign,0.698,0.4494,0.5468,0.5134,0.2646
16,day,truck,0.5986,0.4847,0.5357,0.4935,0.3512
16,night,bike,0.5064,0.4048,0.4499,0.3988,0.2282
16,night,bus,0.5474,0.433,0.4835,0.4342,0.3338
16,night,car,0.7093,0.6449,0.6755,0.6983,0.3988
16,night,motor,0.4717,0.25,0.3268,0.2894,0.1191
16,night,person,0.7089,0.384,0.4982,0.4817,0.2249
16,night,rider,0.6016,0.2958,0.3966,0.3279,0.1554
16,night,traffic light,0.5968,0.5002,0.5443,0.4836,0.1559
16,night,traffic sign,0.6937,0.5447,0.6103,0.603,0.3083
16,night,truck,0.6264,0.3981,0.4868,0.4461,0.323
17,day,bike,0.6229,0.3665,0.4615,0.3798,0.1879
17,day,bus,0.6682,0.4045,0.5039,0.4394,0.3542
17,day,car,0.7607,0.6754,0.7155,0.7331,0.469
17,day,motor,0.5568,0.2901,0.3814,0.3204,0.1548
17,day,person,0.6472,0.4847,0.5543,0.5247,0.2564
17,day,rider,0.5877,0.342,0.4324,0.356,0.183
17,day,traffic light,0.6644,0.4425,0.5312,0.4968,0.2004
17,day,traffic sign,0.6558,0.4693,0.5471,0.5097,0.267
17,day,truck,0.5943,0.4773,0.5294,0.4887,0.3416
17,night,bike,0.4114,0.3929,0.4019,0.3548,0.1963
17,night,bus,0.6537,0.4321,0.5203,0.4416,0.3428
17,night,car,0.6568,0.671,0.6639,0.7041,0.3993
17,night,motor,0.3447,0.1621,0.2205,0.165,0.081
17,night,person,0.572,0.4732,0.5179,0.4845,0.2272
17,night,rider,0.4118,0.338,0.3713,0.302,0.1522
17,night,traffic light,0.5823,0.5106,0.5441,0.4909,0.1566
17,night,traffic sign,0.6631,0.5702,0.6132,0.6077,0.3135
17,night,truck,0.5831,0.4318,0.4962,0.4503,0.317
18,day,bike,0.7275,0.3167,0.4413,0.3872,0.1945
18,day,bus,0.6067,0.441,0.5107,0.4731,0.374
18,day,car,0.7765,0.6721,0.7205,0.7357,0.4699
18,day,motor,0.5273,0.2214,0.3118,0.2609,0.1388
18,day,person,0.6418,0.494,0.5583,0.5322,0.2595
18,day,rider,0.5724,0.3161,0.4072,0.3459,0.1797
18,day,traffic light,0.6674,0.4533,0.5399,0.5027,0.2024
18,day,traffic sign,0.6405,0.4832,0.5508,0.5177,0.2672
18,day,truck,0.6022,0.4767,0.5322,0.485,0.3433
18,night,bike,0.6236,0.3571,0.4542,0.3931,0.203
18,night,bus,0.5779,0.4074,0.4779,0.4381,0.3388
18,night,car,0.7258,0.6405,0.6805,0.7067,0.4
